"DATASET: Purchasing power parities (PPPs), price level indices and real expenditures for ESA 2010 aggregates [prc_ppp_ind]"

"LAST UPDATE: 24.06.22 19:25:56"

"EXTRACTION DATE: 22.10.22 12:05:25"

"SOURCE OF DATA: Eurostat"

"TIME"
"2021"

"GEO"
"European Union - 27 countries (from 2020)"
"Belgium"
"Bulgaria"
"Czechia"
"Denmark"
"Germany (until 1990 former territory of the FRG)"
"Estonia"
"Ireland"
"Greece"
"Spain"
"France"
"Croatia"
"Italy"
"Cyprus"
"Latvia"
"Lithuania"
"Luxembourg"
"Hungary"
"Malta"
"Netherlands"
"Austria"
"Poland"
"Portugal"
"Romania"
"Slovenia"
"Slovakia"
"Finland"
"Sweden"
"Iceland"
"Norway"
"Switzerland"
"United Kingdom"
"Montenegro"
"North Macedonia"
"Albania"
"Serbia"
"Türkiye"
"Bosnia and Herzegovina"
"Kosovo (under United Nations Security Council Resolution 1244/99)"
"United States"
"Japan"

"NA_ITEM"
"Purchasing power parities (EU27_2020=1)"

"PPP_CAT"
"Food and non-alcoholic beverages"
"Alcoholic beverages, tobacco and narcotics"
"Clothing and footwear"
"Electricity, gas and other fuels"
"Health"
"Transport"
"Communication"
"Recreation and culture"
"Audio-visual, photographic and information processing equipment"
"Education"
"Restaurants and hotels"
"Software"

"Special value:"
":","not available"

